user_id,type,date
2e23e35fe0792367688afae1cc53888a,DT,2016-02-20
3ba7ca60e456bc7b51ebad18b5c48d8e,CT,2016-02-02
f07d0faffa7d7e53af39e234e8ed0fab,CT,2016-01-12
76f311b289ab20e3c1d5a8e2f8fb4407,PT,2016-01-27
f37e9faf22fa9dd12a43c32afeae5df8,DD,2016-06-23
b0ecad3cd12ae1fdfd6121efe37e3e2e,CT,2016-02-09
bdab23acdfa69f28e14afc146c5619d2,FT,2016-01-28
0b18605ed201c96a6ba3e33927f5b4b7,DD,2016-08-16
8cf788a69b24f1ea70735143e33b3f29,PT,2016-02-10
d5f0bb7e37087fa1438bf7d229241818,DD,2016-02-17
75aa46aaa39d727ae358da2d7b71e626,CT,2016-02-08
db8ec9d570181080d04e4fa4d64b21f5,PT,2016-03-05
acc339b5d6cd2e29399436dae16eaabb,CT,2016-05-11
83c0d48a0b3c8a2f6210e223dfd9b96b,CT,2016-02-29
5b9806a218a2fbdb5489944a482847a3,PT,2016-02-05
b2c9c950c43a252f7c3547c2fb9fcebc,DT,2016-02-05
0d6d016b2613376b217ccd43724f131e,PT,2016-01-16
5893e1d38cb30496ffc190415a990c88,DT,2016-04-20
7c49d61e4335c78896b9b493a3335540,CT,2016-02-15
7a99ae0d8d64add7981311d7551332a0,DD,2016-03-21
a5774230b5881af0301c576558f63f4c,PT,2016-02-11
aada47bddafeffe6088e21da185c4b61,PT,2016-05-17
ac72eb3614736279a17ab9dd9190d7c1,PT,2016-03-01
1823af70786d6b811a1ea6c807177a2a,PT,2016-02-19
0096b8ea909d531aa85bdacf47bda0df,PT,2016-03-01
041b151e0023f87554ca749fb0246245,CT,2016-04-04
82a323b25014bf5e9b458e8e50b94264,DT,2016-07-31
7b911ce14a9d291551992ee87717c212,CT,2016-01-18
9943974c0a6475fc8788e25ad187c4dc,PT,2016-02-02
c725c2e9711abb8fafe3a04752973fa7,DT,2016-09-17
f19b6bc868f9cbabb4b653397f526ad1,DD,2016-06-20
49238ea0bf4b6d307674406eb4241435,DT,2016-02-10
1322f71f708f96ff483bf1b8c106f40c,CT,2016-02-01
e40980adf2123f723b410d118f017a2a,DD,2016-02-29
0bebe347b9e7afdf5a67809a3ca62b19,PT,2016-03-29
7d8ed2e3072d5e065bf6679e2dce70a6,PT,2016-01-12
2aabb9eb9f1008cb2df5d55e5a564414,DT,2016-04-07
129395607d69c5db970b123c51b32a49,DD,2016-03-01
d7e52319ad4571ec126911e25bdddc5d,PT,2016-01-19
7bf870bcf565442cf0d67b183a3884b2,FT,2016-02-16
013b8b1c0dc52092950d5cff23c1f405,PT,2016-02-03
05dd4875ff781846ff1df8737bb1141b,DT,2016-03-03
6a17f9a85ce203b358acbdaf28d6adf9,PT,2016-02-22
e34ba783eac113cf5d288b8987ecf435,DT,2016-04-15
9a8dcb147d29b7f98bbdff52c6163a2f,DD,2016-10-31
16802e4bff432530a5dc25103b2a42b2,FT,2016-03-01
a292e0d5be80eb02ae83dce5a6c8e610,PT,2016-01-14
58ea1ea6daef61089b617959a6ead195,DD,2016-05-31
3cf9eed71afdfddc007422131e170395,DD,2016-04-01
4f2e7c3bccf8eb6222e4c4c549470024,FT,2016-09-16
e87e3f4c633ccd1cf9c74ee07398a642,DD,2016-02-11
55b6fee1af4b5caea658380ce96fb31c,DT,2016-02-15
9df531dda16c163ca9865c39176d06c5,DD,2016-01-08
9c5f88654368f9f4661b01fe7a4313a9,CT,2016-02-09
b37315b23c01b4048818d1ab8a77b202,CT,2016-02-08
3fbcd89adb194e0c881700515353db03,DT,2016-05-26
c811997c008c7bfc04304a03e9dc75c9,DT,2016-02-05
8e1a394e77ca89d532c2745fca04e3bd,DT,2016-07-20
9306ee4843b1a4974f63a000263852f4,PT,2016-01-30
ad84b1f0838d419e326442f0ef62db9c,PT,2016-01-18
ead4a01c732f945d7ae2709429e8c6b6,DD,2016-08-01
958b26531c27bc4c928981ec63268d02,DT,2016-02-01
f4b8650056440d1e2edfcf2cc0e5dc5b,CT,2016-02-01
0910c0ab7926e5c9bbd1d36ad2ce5f82,PT,2016-02-06
cf3bd898c38f65fb9a6a2c3c79159142,PT,2016-02-29
27e32872bc19e5c22474419815833079,PT,2016-03-14
b0366ff2e5b19c9468a2a195b9eb8f06,DT,2016-02-09
059bbc7a6023af82ba4f7d5875bb33a1,CT,2016-01-13
1c4a798df33c30b902a21ad906754716,CT,2016-02-09
91aebb34d1e18c2b300a94033c49dffe,CT,2016-02-23
71637cda889e2f56afe19e47efa2347c,PT,2016-01-20
9cf68053061fd9f71a7c0622853592ed,DT,2016-01-21
76780608080b8caead480fa3883377b5,DD,2016-07-01
579a65899f00f519118e0cc38efc798c,CT,2016-02-22
